country,number_of_hours,low_upper_band,medium_upper_band,high_upper_band
ASEAN (Ember),1,195,393,586
ASEAN (Ember),2,389,786,1171
ASEAN (Ember),3,583,1179,1756
ASEAN (Ember),4,778,1571,2342
ASEAN (Ember),5,972,1964,2927
ASEAN (Ember),6,1166,2357,3512
ASEAN (Ember),7,1360,2749,4098
ASEAN (Ember),8,1555,3142,4683
ASEAN (Ember),9,1749,3535,5268
ASEAN (Ember),10,1943,3928,5854
ASEAN (Ember),11,2137,4320,6439
ASEAN (Ember),12,2332,4713,7024
ASEAN (Ember),13,2526,5106,7610
ASEAN (Ember),14,2720,5498,8195
ASEAN (Ember),15,2914,5891,8780
ASEAN (Ember),16,3109,6284,9366
ASEAN (Ember),17,3303,6677,9951
ASEAN (Ember),18,3497,7069,10536
ASEAN (Ember),19,3691,7462,11122
ASEAN (Ember),20,3886,7855,11707
ASEAN (Ember),21,4080,8247,12292
ASEAN (Ember),22,4274,8640,12878
ASEAN (Ember),23,4468,9033,13463
ASEAN (Ember),24,4663,9426,14048
Afghanistan,1,49,98,146
Afghanistan,2,97,196,292
Afghanistan,3,146,294,438
Afghanistan,4,194,392,583
Afghanistan,5,242,489,729
Afghanistan,6,291,587,875
Afghanistan,7,339,685,1020
Afghanistan,8,387,783,1166
Afghanistan,9,436,880,1312
Afghanistan,10,484,978,1458
Afghanistan,11,532,1076,1603
Afghanistan,12,581,1174,1749
Afghanistan,13,629,1271,1895
Afghanistan,14,678,1369,2040
Afghanistan,15,726,1467,2186
Afghanistan,16,774,1565,2332
Afghanistan,17,823,1662,2478
Afghanistan,18,871,1760,2623
Afghanistan,19,919,1858,2769
Afghanistan,20,968,1956,2915
Afghanistan,21,1016,2053,3060
Afghanistan,22,1064,2151,3206
Afghanistan,23,1113,2249,3352
Afghanistan,24,1161,2347,3498
Africa,1,172,347,517
Africa,2,343,694,1033
Africa,3,515,1040,1550
Africa,4,686,1387,2066
Africa,5,858,1733,2583
Africa,6,1029,2080,3099
Africa,7,1200,2426,3616
Africa,8,1372,2773,4132
Africa,9,1543,3119,4649
Africa,10,1715,3466,5165
Africa,11,1886,3812,5682
Africa,12,2057,4159,6198
Africa,13,2229,4505,6715
Africa,14,2400,4852,7231
Africa,15,2572,5198,7747
Africa,16,2743,5545,8264
Africa,17,2914,5891,8780
Africa,18,3086,6238,9297
Africa,19,3257,6584,9813
Africa,20,3429,6931,10330
Africa,21,3600,7277,10846
Africa,22,3771,7624,11363
Africa,23,3943,7970,11879
Africa,24,4114,8317,12396
Africa (EI),1,172,347,517
Africa (EI),2,343,694,1033
Africa (EI),3,515,1040,1550
Africa (EI),4,686,1387,2066
Africa (EI),5,858,1733,2583
Africa (EI),6,1029,2080,3099
Africa (EI),7,1200,2426,3616
Africa (EI),8,1372,2773,4132
Africa (EI),9,1543,3119,4649
Africa (EI),10,1715,3466,5165
Africa (EI),11,1886,3812,5682
Africa (EI),12,2057,4159,6198
Africa (EI),13,2229,4505,6715
Africa (EI),14,2400,4852,7231
Africa (EI),15,2572,5198,7747
Africa (EI),16,2743,5545,8264
Africa (EI),17,2914,5891,8780
Africa (EI),18,3086,6238,9297
Africa (EI),19,3257,6584,9813
Africa (EI),20,3429,6931,10330
Africa (EI),21,3600,7277,10846
Africa (EI),22,3771,7624,11363
Africa (EI),23,3943,7970,11879
Africa (EI),24,4114,8317,12396
Africa (Ember),1,178,359,535
Africa (Ember),2,355,718,1069
Africa (Ember),3,533,1076,1604
Africa (Ember),4,710,1435,2138
Africa (Ember),5,887,1794,2673
Africa (Ember),6,1065,2152,3207
Africa (Ember),7,1242,2511,3742
Africa (Ember),8,1420,2869,4276
Africa (Ember),9,1597,3228,4811
Africa (Ember),10,1774,3587,5345
Africa (Ember),11,1952,3945,5880
Africa (Ember),12,2129,4304,6414
Africa (Ember),13,2307,4662,6949
Africa (Ember),14,2484,5021,7483
Africa (Ember),15,2661,5380,8018
Africa (Ember),16,2839,5738,8552
Africa (Ember),17,3016,6097,9087
Africa (Ember),18,3194,6455,9621
Africa (Ember),19,3371,6814,10156
Africa (Ember),20,3548,7173,10690
Africa (Ember),21,3726,7531,11225
Africa (Ember),22,3903,7890,11759
Africa (Ember),23,4080,8249,12294
Africa (Ember),24,4258,8607,12828
Albania,1,2,4,6
Albania,2,4,7,11
Albania,3,5,11,16
Albania,4,7,14,21
Albania,5,9,17,26
Albania,6,10,21,31
Albania,7,12,24,36
Albania,8,14,27,41
Albania,9,15,31,46
Albania,10,17,34,51
Albania,11,19,37,56
Albania,12,20,41,61
Albania,13,22,44,66
Albania,14,24,48,71
Albania,15,25,51,76
Albania,16,27,54,81
Albania,17,29,58,86
Albania,18,30,61,91
Albania,19,32,64,96
Albania,20,34,68,101
Albania,21,35,71,106
Albania,22,37,74,111
Albania,23,39,78,116
Albania,24,40,81,121
Algeria,1,2,4,5
Algeria,2,4,7,10
Algeria,3,5,10,15
Algeria,4,7,13,20
Algeria,5,8,16,24
Algeria,6,10,20,29
Algeria,7,12,23,34
Algeria,8,13,26,39
Algeria,9,15,29,43
Algeria,10,16,32,48
Algeria,11,18,36,53
Algeria,12,19,39,58
Algeria,13,21,42,62
Algeria,14,23,45,67
Algeria,15,24,48,72
Algeria,16,26,52,77
Algeria,17,27,55,81
Algeria,18,29,58,86
